d:\xampp\mysql\bin\mysqld.exe, Version: 10.4.32-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: D:/xampp/mysql/mysql.sock
Time		    Id Command	Argument
		    11 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='ci'AND `ROUTINE_TYPE`='PROCEDURE'
		    11 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`EVENTS` WHERE `EVENT_SCHEMA` ='ci'
		    11 Query	SELECT `TABLE_NAME` AS `name` FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='ci' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED') ORDER BY `TABLE_NAME` ASC LIMIT 0, 50
		    10 Query	SELECT `item_name` FROM `phpmyadmin`.`pma__navigationhiding` WHERE `username`='root' AND `item_type`='table' AND `db_name`='ci'
		    11 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    11 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    11 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='ci' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    11 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='ci' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    11 Query	SELECT 1 FROM mysql.user LIMIT 1
		    11 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''localhost''' LIKE `GRANTEE` LIMIT 1
		    11 Quit	
		    10 Quit	
		    12 Connect	pma@localhost as anonymous on 
		    13 Connect	root@localhost as anonymous on 
		    13 Query	SELECT @@version, @@version_comment
		    13 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    13 Query	SET lc_messages = 'en_US'
		    12 Query	SHOW TABLES FROM `phpmyadmin`
		    12 Init DB	phpmyadmin
		    12 Query	SHOW TABLES FROM `phpmyadmin`
		    12 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    12 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    12 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    12 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    12 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    12 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		    13 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    12 Query	SHOW TABLES FROM `phpmyadmin`
		    12 Init DB	phpmyadmin
		    12 Query	SHOW TABLES FROM `phpmyadmin`
		    12 Init DB	phpmyadmin
		    12 Query	SHOW TABLES FROM `phpmyadmin`
		    12 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    12 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    12 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    12 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    12 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    12 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    12 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    12 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    13 Query	SELECT 1 FROM mysql.user LIMIT 1
		    13 Query	SELECT CURRENT_USER()
		    13 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''localhost''' LIKE `GRANTEE` LIMIT 1
		    13 Quit	
		    12 Quit	
		    14 Connect	pma@localhost as anonymous on 
		    15 Connect	root@localhost as anonymous on 
		    15 Query	SELECT @@version, @@version_comment
		    15 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    15 Query	SET lc_messages = 'en_US'
		    14 Query	SHOW TABLES FROM `phpmyadmin`
		    14 Init DB	phpmyadmin
		    14 Query	SHOW TABLES FROM `phpmyadmin`
		    14 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    14 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    14 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    14 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    14 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    14 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		    15 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    14 Query	SHOW TABLES FROM `phpmyadmin`
		    14 Init DB	phpmyadmin
		    14 Query	SHOW TABLES FROM `phpmyadmin`
		    14 Init DB	phpmyadmin
		    14 Query	SHOW TABLES FROM `phpmyadmin`
		    14 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    14 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    14 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    14 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
